Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
Does difficulties with thinking or memory interfere with work or social activities,Cognitive Decline,,5,344,Num,CDSOCIA1,,"During the past 12 months, have your difficulties with thinking or memory interfered with your ability to work or volunteer?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 08.01, AGE, is less than 45; or Module 13.01, CIMEMLO1, is coded 2, 7, 9, or Missing'], 'Frequency': ['5,092', '16,995', '265', '58', '410,913'], 'Percentage': ['22.72', '75.84', '1.18', '0.26', '.'], 'Weighted Percentage': ['26.91', '71.42', '1.42', '0.25', '.']}"
Provided regular care for family or friend,Caregiver,,1,345,Num,CAREGIV1,,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?","{'Value': ['1', '2', '7', '8', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Module 14.09 CRGVEXPT', ""Don't know/Not Sure -  Go to Module 14.09 CRGVEXPT"", 'Caregiving recipient died in past 30 days -  Go to next module', 'Refused -  Go to Module 14.09 CRGVEXPT', 'Not asked or Missing'], 'Frequency': ['11,502', '39,022', '131', '79', '77', '382,512'], 'Percentage': ['22.64', '76.80', '0.26', '0.16', '0.15', '.'], 'Weighted Percentage': ['22.11', '77.25', '0.38', '0.09', '0.16', '.']}"
Relationship Of Person To Whom You Are Giving Care?,Caregiver,,2,346-347,Num,CRGVREL4,,What is his or her relationship to you?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '77', '99', 'BLANK'], 'Value Label': ['Mother', 'Father', 'Mother-in-law', 'Father-in-law', 'Child', 'Husband', 'Wife', 'Live-in partner', 'Brother or brother-in-law', 'Sister or sister-in-law', 'Grandmother', 'Grandfather', 'Grandchild', 'Other relative', 'Non-relative/Family friend', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['2,072', '818', '368', '153', '1,086', '1,355', '1,160', '136', '373', '496', '361', '119', '95', '722', '2,003', '50', '116', '421,840'], 'Percentage': ['18.04', '7.12', '3.20', '1.33', '9.46', '11.80', '10.10', '1.18', '3.25', '4.32', '3.14', '1.04', '0.83', '6.29', '17.44', '0.44', '1.01', '.'], 'Weighted Percentage': ['20.11', '7.71', '2.97', '1.84', '10.30', '9.43', '8.49', '1.08', '3.36', '4.38', '4.81', '1.62', '0.52', '6.66', '15.16', '0.35', '1.22', '.']}"
How Long Provided Care For Person.,Caregiver,,3,348,Num,CRGVLNG1,,For how long have you provided care for that person?,"{'Value': ['1', '2', '3', '4', '5', '7', '9', 'BLANK'], 'Value Label': ['Less than 30 days', '1 month to less than 6 months', '6 months to less than 2 years', '2 years to less than 5 years', '5 or more years', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['1,694', '1,426', '2,012', '2,477', '3,464', '280', '104', '421,866'], 'Percentage': ['14.79', '12.45', '17.56', '21.62', '30.23', '2.44', '0.91', '.'], 'Weighted Percentage': ['15.67', '12.06', '16.83', '21.79', '31.12', '1.74', '0.78', '.']}"
How Many Hours Do You Provide Care For Person?,Caregiver,,4,349,Num,CRGVHRS1,,"In an average week, how many hours do you provide care or assistance?","{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Up to 8 hours per week', '9 to 19 hours per week', '20 to 39 hours per week', '40 hours or more', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['5,398', '1,483', '1,280', '2,155', '926', '182', '421,899'], 'Percentage': ['47.25', '12.98', '11.20', '18.86', '8.11', '1.59', '.'], 'Weighted Percentage': ['45.35', '13.50', '12.49', '18.70', '8.58', '1.38', '.']}"
"What Is The Major Health Problem, Illness, Disability For Care For Person?",Caregiver,,5,350-351,Num,CRGVPRB3,,"What is the main health problem, long-term illness, or disability that the person you care for has?","{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '77', '99', 'BLANK'], 'Value Label': ['Arthritis/ rheumatism', 'Asthma', 'Cancer', 'Chronic respiratory conditions such as emphysema or COPD', ""Alzheimer's disease, dementia or other cognitive impairment disorder -  Go to Module 14.07 CRGVPER1"", ""Developmental disabilities such as autism, Down's Syndrome, and spina bifida"", 'Diabetes', 'Heart disease, hypertension, stroke', 'Human Immunodeficiency Virus Infection (H.I.V.)', 'Mental illnesses, such as anxiety, depression, or schizophrenia', 'Other organ failure or diseases such as kidney or liver problems', 'Substance abuse or addiction disorders', 'Injuries, including broken bones', 'Old age/ infirmity/frailty', 'Other', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['367', '29', '802', '337', '1,290', '494', '399', '790', '16', '464', '258', '24', '691', '1,505', '3,287', '313', '331', '421,926'], 'Percentage': ['3.22', '0.25', '7.04', '2.96', '11.32', '4.33', '3.50', '6.93', '0.14', '4.07', '2.26', '0.21', '6.06', '13.21', '28.84', '2.75', '2.90', '.'], 'Weighted Percentage': ['2.97', '0.21', '7.36', '2.77', '11.27', '4.85', '3.55', '6.46', '0.08', '4.81', '2.03', '0.16', '6.23', '12.54', '28.63', '3.06', '3.02', '.']}"
Does Person Being Cared For Have Alzheimer's Disease?,Caregiver,,6,352,Num,CRGVALZD,,"Does the person you care for also have Alzheimer's disease, dementia or other cognitive impairment disorder?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9; or Module 14.05, CRGVPRB3, is coded 5'], 'Frequency': ['1,571', '8,101', '299', '110', '423,242'], 'Percentage': ['15.58', '80.36', '2.97', '1.09', '.'], 'Weighted Percentage': ['14.36', '81.31', '3.53', '0.80', '.']}"
Managed personal care,Caregiver,,7,353,Num,CRGVPER1,,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['5,566', '5,664', '38', '79', '421,976'], 'Percentage': ['49.05', '49.92', '0.33', '0.70', '.'], 'Weighted Percentage': ['52.14', '46.96', '0.26', '0.65', '.']}"
Managed household tasks,Caregiver,,8,354,Num,CRGVHOU1,,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 2, 8, 7 or 9'], 'Frequency': ['8,847', '2,377', '30', '82', '421,987'], 'Percentage': ['78.04', '20.97', '0.26', '0.72', '.'], 'Weighted Percentage': ['78.16', '20.76', '0.40', '0.68', '.']}"
Do you expect to have a relative you will need to provide care for?,Caregiver,,9,355,Num,CRGVEXPT,,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Module 14.01, CAREGIV1, is coded 1 or 8'], 'Frequency': ['5,568', '30,977', '2,510', '98', '394,170'], 'Percentage': ['14.22', '79.12', '6.41', '0.25', '.'], 'Weighted Percentage': ['14.25', '79.75', '5.80', '0.20', '.']}"
Interval Since Last Smoked,Tobacco Cessation,,1,356-357,Num,LASTSMK2,,"How long has it been since you last smoked a cigarette, even one or two puffs?","{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '77', '99', 'BLANK'], 'Value Label': ['Within the past month (less than 1 month ago) -  Go to next module', 'Within the past 3 months (1 month but less than 3 months ago) -  Go to next module', 'Within the past 6 months (3 months but less than 6 months ago) -  Go to next module', 'Within the past year (6 months but less than 1 year ago) -  Go to next module', 'Within the past 5 years (1 year but less than 5 years ago) -  Go to next module', 'Within the past 10 years (5 years but less than 10 years ago) -  Go to next module', '10 years or more -  Go to next module', 'Never smoked regularly -  Go to next module', ""Don't know/Not sure -  Go to next module"", 'Refused -  Go to next module', 'Not asked or MissingNotes: Section 11.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 11.02, SMOKDAY2, is coded 1, 2, 7, 9, or Missing;'], 'Frequency': ['1,352', '1,088', '1,112', '1,651', '6,676', '4,988', '33,316', '241', '514', '46', '382,339'], 'Percentage': ['2.65', '2.13', '2.18', '3.24', '13.09', '9.78', '65.35', '0.47', '1.01', '0.09', '.'], 'Weighted Percentage': ['3.18', '2.84', '3.05', '4.19', '16.36', '11.43', '57.19', '0.49', '1.16', '0.10', '.']}"
Stopped Smoking in past 12 months,Tobacco Cessation,,2,358,Num,STOPSMK2,,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 11.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 11.02, SMOKDAY2, is coded 3, 7, 9, or Missing; or Module 15.01, LASTSMK2 is not missing'], 'Frequency': ['10,330', '10,308', '73', '18', '412,594'], 'Percentage': ['49.83', '49.73', '0.35', '0.09', '.'], 'Weighted Percentage': ['52.95', '46.56', '0.42', '0.07', '.']}"
Do you usually smoke menthol cigarettes?,Other Tobacco Use,,1,359,Num,MENTCIGS,,"Currently, when you smoke cigarettes, do you usually smoke menthol cigarettes?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 11.02, SMOKDAY2, is coded 3, 7, 9 or Missing;'], 'Frequency': ['8,084', '18,019', '83', '28', '407,109'], 'Percentage': ['30.84', '68.74', '0.32', '0.11', '.'], 'Weighted Percentage': ['34.89', '64.63', '0.40', '0.08', '.']}"
Do you usually use menthol e-cigarettes?,Other Tobacco Use,,2,360,Num,MENTECIG,,"Currently, when you use e-cigarettes, do you usually use menthol e-cigarettes?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 12.04, ECIGNOW2, is coded 1, 4, 7, 9 or Missing'], 'Frequency': ['3,151', '9,007', '253', '44', '420,868'], 'Percentage': ['25.30', '72.32', '2.03', '0.35', '.'], 'Weighted Percentage': ['27.79', '69.52', '2.33', '0.36', '.']}"
Have you heard of heated tobacco products?,Other Tobacco Use,,3,361,Num,HEATTBCO,,"Before today, have you heard of heated tobacco products?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['26,928', '209,176', '1,326', '484', '195,409'], 'Percentage': ['11.32', '87.92', '0.56', '0.20', '.'], 'Weighted Percentage': ['10.97', '88.29', '0.51', '0.23', '.']}"
Any Firearms in Home,Firearm Safety,,1,362,Num,FIREARM5,,Are any firearms now kept in or around your home?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Next Module', ""Don't know/Not Sure -  Go to Next Module"", 'Refused -  Go to Next Module', 'Missing'], 'Frequency': ['30,210', '44,526', '528', '6,046', '352,013'], 'Percentage': ['37.15', '54.76', '0.65', '7.44', '.'], 'Weighted Percentage': ['34.55', '58.08', '0.64', '6.74', '.']}"
Any Firearms Loaded,Firearm Safety,,2,363,Num,GUNLOAD,,Are any of these firearms now loaded?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Next Module', ""Don't know/Not sure -  Go to Next Module"", 'Refused -  Go to Next Module', 'Not asked or MissingNotes: Module 17.01, FIREARM5, is coded 2, 7, 9, or Missing'], 'Frequency': ['10,160', '19,097', '761', '159', '403,146'], 'Percentage': ['33.67', '63.28', '2.52', '0.53', '.'], 'Weighted Percentage': ['34.16', '62.35', '2.87', '0.62', '.']}"
Any Loaded Firearms Also Unlocked,Firearm Safety,,3,364,Num,LOADULK2,,Are any of these loaded firearms also unlocked?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 17.01, FIREARM5, is coded 2, 7, 9, or Missing; or Module 17.02, GUNLOAD, is coded 2, 7, 9, or Missing'], 'Frequency': ['5,494', '4,550', '53', '58', '423,168'], 'Percentage': ['54.10', '44.81', '0.52', '0.57', '.'], 'Weighted Percentage': ['49.99', '48.83', '0.58', '0.59', '.']}"
Heart Attack Symptoms - Jaw/Back/Neck Pain,Heart Attack and Stroke,,1,565,Num,HASYMP1,"Which of the following do you think is a symptom of a heart attack?  For each, tell me Yes, No, or you're not sure:","(Do you think) pain or discomfort in the jaw, neck, or back (are symptoms of a heart attack)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['6,471', '2,551', '1,478', '22', '422,801'], 'Percentage': ['61.50', '24.24', '14.05', '0.21', '.'], 'Weighted Percentage': ['56.36', '27.59', '15.78', '0.26', '.']}"
Heart Attack Symptoms - Weak/Light-headed/Faint,Heart Attack and Stroke,,2,566,Num,HASYMP2,,"(Do you think) feeling weak, lightheaded, or faint (are symptoms of a heart attack)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['6,759', '2,373', '1,348', '27', '422,816'], 'Percentage': ['64.33', '22.58', '12.83', '0.26', '.'], 'Weighted Percentage': ['64.01', '22.60', '13.05', '0.34', '.']}"
Heart Attack Symptoms - Chest Pain/Discomfort,Heart Attack and Stroke,,3,567,Num,HASYMP3,,(Do you think) chest pain or discomfort (are symptoms of a heart attack)?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['9,584', '602', '289', '26', '422,822'], 'Percentage': ['91.27', '5.73', '2.75', '0.25', '.'], 'Weighted Percentage': ['90.01', '6.44', '3.17', '0.37', '.']}"
Heart Attack Symptoms - Vision Problems,Heart Attack and Stroke,,4,568,Num,HASYMP4,,(Do you think) sudden trouble seeing in one or both eyes (are symptoms of a heart attack)?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['3,098', '4,860', '2,509', '26', '422,830'], 'Percentage': ['29.52', '46.32', '23.91', '0.25', '.'], 'Weighted Percentage': ['32.59', '43.88', '23.20', '0.33', '.']}"
Heart Attack Symptoms - Pain or Discomfort in Arms/Shoulder,Heart Attack and Stroke,,5,569,Num,HASYMP5,,(Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack)?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['8,796', '1,053', '610', '25', '422,839'], 'Percentage': ['83.90', '10.04', '5.82', '0.24', '.'], 'Weighted Percentage': ['80.42', '11.65', '7.60', '0.33', '.']}"
Heart Attack Symptoms - Shortness of Breath,Heart Attack and Stroke,,6,570,Num,HASYMP6,,(Do you think) shortness of breath (is a symptom of a heart attack)?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['8,608', '1,167', '675', '25', '422,848'], 'Percentage': ['82.18', '11.14', '6.44', '0.24', '.'], 'Weighted Percentage': ['80.79', '12.00', '6.89', '0.32', '.']}"
Stroke Symptoms - Confusion/Trouble speaking,Heart Attack and Stroke,,7,571,Num,STRSYMP1,"Which of the following do you think is a symptom of a stroke?  For each, tell me Yes, No, or you're not sure",(Do you think) sudden confusion or trouble speaking (are symptoms of a stroke?),"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['9,606', '349', '447', '36', '422,885'], 'Percentage': ['92.03', '3.34', '4.28', '0.34', '.'], 'Weighted Percentage': ['90.46', '3.98', '5.05', '0.51', '.']}"
Stroke Symptoms - Numbness or Weakness of Face/Arm/Leg,Heart Attack and Stroke,,8,572,Num,STRSYMP2,,"(Do you think) sudden numbness or weakness of face, arm, or leg, especially on one side (are symptoms of a stroke?)","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['9,861', '274', '255', '34', '422,899'], 'Percentage': ['94.60', '2.63', '2.45', '0.33', '.'], 'Weighted Percentage': ['93.61', '3.05', '2.82', '0.53', '.']}"
Stroke Symptoms - Vision Problems,Heart Attack and Stroke,,9,573,Num,STRSYMP3,,(Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?),"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['7,322', '1,161', '1,895', '38', '422,907'], 'Percentage': ['70.30', '11.15', '18.19', '0.36', '.'], 'Weighted Percentage': ['69.66', '12.09', '17.54', '0.71', '.']}"
Stroke Symptoms - Chest Pain/Discomfort,Heart Attack and Stroke,,10,574,Num,STRSYMP4,,(Do you think) sudden chest pain or discomfort (are symptoms of a stroke?),"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['4,041', '4,088', '2,239', '35', '422,920'], 'Percentage': ['38.84', '39.30', '21.52', '0.34', '.'], 'Weighted Percentage': ['40.03', '38.59', '20.80', '0.57', '.']}"
Stroke Symptoms - Trouble Walking/Dizziness/Loss of Balance,Heart Attack and Stroke,,11,575,Num,STRSYMP5,,"(Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a stroke?)","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['8,947', '655', '753', '36', '422,932'], 'Percentage': ['86.10', '6.30', '7.25', '0.35', '.'], 'Weighted Percentage': ['85.03', '7.02', '7.35', '0.60', '.']}"
Stroke Symptoms - Severe Headache,Heart Attack and Stroke,,12,576,Num,STRSYMP6,,(Do you think) severe headache with no known cause (is a symptom of a stroke?),"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['6,673', '1,790', '1,878', '34', '422,948'], 'Percentage': ['64.32', '17.25', '18.10', '0.33', '.'], 'Weighted Percentage': ['61.28', '18.94', '19.19', '0.59', '.']}"
First Aid for Heart Attack and Stroke,Heart Attack and Stroke,,13,577,Num,FIRSTAID,,"If you thought someone was having a heart attack or a stroke, what is the first thing you would do?","{'Value': ['1', '2', '3', '4', '5', '7', '9', 'BLANK'], 'Value Label': ['Take them the hospital', 'Tell them to call their doctor', 'Call 911', 'Call their spouse or a family member', 'Do something else', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['714', '39', '9,114', '48', '367', '56', '21', '422,964'], 'Percentage': ['6.89', '0.38', '87.98', '0.46', '3.54', '0.54', '0.20', '.'], 'Weighted Percentage': ['6.96', '0.32', '87.55', '0.65', '3.79', '0.49', '0.25', '.']}"
How often do you take an aspirin,Aspirin for CVD Prevention,,1,578,Num,ASPIRIN,,"How often do you take an aspirin to prevent or control heart disease, heart attacks or stroke?  Would you say:","{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Daily', 'Some days', 'Used to take it but had to stop due to side effects, or', 'Do not take it', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['5,374', '968', '988', '18,351', '118', '46', '407,478'], 'Percentage': ['20.79', '3.75', '3.82', '71.00', '0.46', '0.18', '.'], 'Weighted Percentage': ['15.43', '3.58', '2.65', '77.42', '0.56', '0.35', '.']}"
Sexual orientation,Sexual Orientation,,1,580,Num,SOMALE,,Which of the following best represents how you think of yourself?,"{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Gay', 'Straight, that is, not gay', 'Bisexual', 'Something else', ""I Don't know the answer"", 'Refused', 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 2;'], 'Frequency': ['3,210', '123,225', '2,937', '2,072', '1,304', '3,042', '297,533'], 'Percentage': ['2.36', '90.75', '2.16', '1.53', '0.96', '2.24', '.'], 'Weighted Percentage': ['2.47', '89.58', '2.68', '1.88', '1.33', '2.07', '.']}"
Sexual orientation,Sexual Orientation,,2,581,Num,SOFEMALE,,Which of the following best represents how you think of yourself?,"{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Lesbian or Gay', 'Straight, that is, not gay', 'Bisexual', 'Something else', ""I Don't know the answer"", 'Refused', 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;'], 'Frequency': ['2,369', '135,763', '6,089', '2,903', '2,303', '4,040', '279,856'], 'Percentage': ['1.54', '88.46', '3.97', '1.89', '1.50', '2.63', '.'], 'Weighted Percentage': ['1.76', '85.40', '5.56', '2.59', '2.22', '2.47', '.']}"
"During the past 30 days, on how many days did you use marijuana or hashish?",Marijuana Use,,1,583-584,Num,MARIJAN1,,"During the past 30 days, on how many days did you use marijuana or cannabis?","{'Value': ['1 - 30', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of Days', 'None -  Go to next module', ""Don't know/Not Sure -  Go to next module"", 'Refused -  Go to next module', 'Not asked or Missing'], 'Frequency': ['11,450', '76,470', '225', '468', '344,710'], 'Percentage': ['12.92', '86.30', '0.25', '0.53', '.'], 'Weighted Percentage': ['14.65', '84.49', '0.32', '0.54', '.']}"
Did you smoke marijuana or cannabis?,Marijuana Use,,2,585,Num,MARJSMOK,,"During the past 30 days, did you smoke it (for example, in a joint, bong, pipe, or blunt)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 23.01, MARIJAN1, is coded 77, 88, 99 or Missing'], 'Frequency': ['8,439', '2,982', '10', '9', '421,883'], 'Percentage': ['73.77', '26.07', '0.09', '0.08', '.'], 'Weighted Percentage': ['76.87', '23.02', '0.05', '0.06', '.']}"
Did you eat marijuana or cannabis?,Marijuana Use,,3,586,Num,MARJEAT,,"Did you eat it or drink it (for example, in brownies, cakes, cookies, or candy, or in tea, cola, or alcohol)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 23.01, MARIJAN1, is coded 77, 88, 99 or Missing'], 'Frequency': ['5,146', '6,269', '13', '5', '421,890'], 'Percentage': ['45.01', '54.83', '0.11', '0.04', '.'], 'Weighted Percentage': ['43.20', '56.71', '0.06', '0.03', '.']}"
Did you vape marijuana or cannabis?,Marijuana Use,,4,587,Num,MARJVAPE,,"Did you vaporize it (for example, in an e-cigarette-like vaporizer or another vaporizing device)","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 23.01, MARIJAN1, is coded 77, 88, 99 or Missing'], 'Frequency': ['2,886', '8,514', '21', '4', '421,898'], 'Percentage': ['25.26', '74.52', '0.18', '0.04', '.'], 'Weighted Percentage': ['31.07', '68.81', '0.07', '0.05', '.']}"
Did you dab marijuana or cannabis?,Marijuana Use,,5,588,Num,MARJDAB,,"Did you dab it (for example, using a dabbing rig, knife, or dab pen)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 23.01, MARIJAN1, is coded 77, 88, 99 or Missing'], 'Frequency': ['1,199', '10,149', '57', '8', '421,910'], 'Percentage': ['10.51', '88.92', '0.50', '0.07', '.'], 'Weighted Percentage': ['13.65', '86.04', '0.24', '0.07', '.']}"
Did you use marijuana or cannabis some other way?,Marijuana Use,,6,589,Num,MARJOTHR,,Did you use it in some other way?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Module 23.01, MARIJAN1, is coded 77, 88, 99 or Missing'], 'Frequency': ['789', '10,559', '43', '14', '421,918'], 'Percentage': ['6.92', '92.58', '0.38', '0.12', '.'], 'Weighted Percentage': ['5.71', '93.83', '0.36', '0.10', '.']}"
"Live With Anyone Depressed, Mentally Ill, Or Suicidal?",Adverse Childhood Experiences,,1,591,Num,ACEDEPRS,,"Did you live with anyone who was depressed, mentally ill, or suicidal?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['10,606', '44,138', '604', '692', '377,283'], 'Percentage': ['18.93', '78.76', '1.08', '1.23', '.'], 'Weighted Percentage': ['20.45', '77.07', '1.20', '1.27', '.']}"
Live With a Problem Drinker/Alcoholic?,Adverse Childhood Experiences,,2,592,Num,ACEDRINK,,Did you live with anyone who was a problem drinker or alcoholic?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['13,360', '41,766', '213', '600', '377,384'], 'Percentage': ['23.88', '74.66', '0.38', '1.07', '.'], 'Weighted Percentage': ['23.54', '75.10', '0.34', '1.01', '.']}"
Live With Anyone Who Used Illegal Drugs or Abused Prescriptions?,Adverse Childhood Experiences,,3,593,Num,ACEDRUGS,,Did you live with anyone who used illegal street drugs or who abused prescription medications?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['5,823', '49,240', '286', '542', '377,432'], 'Percentage': ['10.42', '88.10', '0.51', '0.97', '.'], 'Weighted Percentage': ['12.11', '86.35', '0.56', '0.97', '.']}"
Live With Anyone Who Served TIme in Prison or Jail?,Adverse Childhood Experiences,,4,594,Num,ACEPRISN,,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['3,943', '51,195', '156', '551', '377,478'], 'Percentage': ['7.06', '91.67', '0.28', '0.99', '.'], 'Weighted Percentage': ['9.15', '89.57', '0.30', '0.98', '.']}"
